pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-3261 b,0.8831331,0.01714,3.82,30.3,0.0,1466.0,1722.0,5068.0,0.849,0.861,0.138,4.19
TOI-3288 b,1.4338647,0.02285,12.24020692,536.17652261,0.021,213.8,973.0,4072.0,0.672,0.643,0.65,4.592
TOI-329 b,5.70439,0.0638,4.94057819,40.4,0.39,,1213.02,5614.0,1.5326,1.0678,0.205,4.092
TOI-332 b,0.777038,0.0159,3.2,57.2,0.0,,1871.0,5251.0,0.87,0.88,0.256,4.46
TOI-3321 b,3.6525145,0.047,15.55806521,176.07693748,0.054,,1616.0,5850.0,1.549,1.041,-0.103,4.076
TOI-333 b,3.7852503,0.049,4.26,20.1,0.0,,1445.0,6241.0,1.1,1.2,0.01,4.41
TOI-3331 A b,2.0180231,0.03144,12.97999965,721.47048389,0.0,818.5,1488.0,5609.0,0.952,1.016,0.148,4.487
TOI-3353.01,4.6657965,0.060118218,2.6667555,,,313.0426,1264.36,6365.0,1.0207,1.332089,,4.54516
TOI-3362 b,18.09547,0.153,12.80065596,1598.3590588,0.815,,,6532.0,1.83,1.445,0.017,4.072
TOI-3364 b,5.8768918,0.0675,12.22899794,530.77343969,0.0,425.0,1264.0,5706.0,1.419,1.186,0.387,4.209
TOI-3457 b,32.600268,0.2001,10.64,797.74930157,0.59,,824.2,6300.0,1.474,1.04,0.28,4.28
TOI-3464 b,3.6515568,0.0515,13.7646283,397.28550875,0.25,1370.0,1693.0,6370.0,1.56,1.363,0.045,4.185
TOI-3474 b,3.8795105,0.0502,14.67255574,193.87532827,0.13,740.0,1451.0,6020.0,1.256,1.121,0.146,4.292
TOI-3486 b,2.21778105,0.03138,10.5700688,99.16246298,0.078,334.0,1190.0,4930.0,0.788,0.837,0.283,4.569
TOI-3493 b,8.1594667,,3.22,8.97,,245.0,1102.0,5844.0,1.228,1.023,0.03,4.25
TOI-3523 A b,2.30458952,0.03559,15.9727975,435.42491759,0.047,2590.0,1984.0,6450.0,1.448,1.131,-0.366,4.171
TOI-3540 A b,3.119999,0.04289,23.53885947,375.03752026,0.0,841.3,1498.0,5810.0,1.228,1.081,0.176,4.293
TOI-3568 b,4.417965,0.0485,5.3,26.4,0.035,,899.0,4969.0,0.719,0.78,-0.01,4.63
TOI-3593 b,3.8212867,0.0481,11.02963701,565.73456446,0.105,308.0,1170.0,5550.0,0.918,1.015,0.384,4.519
TOI-3629 b,3.936551,0.043,8.29464572,82.63538582,0.05,39.0,690.0,3870.0,0.6,0.63,0.4,4.67
TOI-3664 b,3.2974839,0.0431,13.69737442,114.41822652,0.159,,1232.0,5593.0,1.11,0.98,0.17,4.37
TOI-3682 b,3.3462406,0.048,12.80065596,69.28659273,0.22,1258.0,1657.0,5703.0,1.735,1.32,0.416,4.077
TOI-3688 A b,3.246075,0.0456,13.08088048,311.47183886,0.0,924.3,1534.0,5950.0,1.302,1.199,0.262,4.288
TOI-3693 b,9.088516,0.0813,12.59889431,324.18497514,0.0,68.6,801.0,5321.0,0.791,0.867,0.071,4.581
TOI-3714 b,2.154849,0.027,11.32107051,222.4798849,0.03,54.0,750.0,3660.0,0.51,0.53,0.1,4.75
TOI-375 b,9.45469,0.099,10.77183045,236.78216321,0.087,593.3,1373.0,5259.9,2.9,1.441,0.084,3.672
TOI-3757 b,3.438753,0.03845,12.0,85.3,0.14,55.4,759.0,3913.0,0.62,0.64,0.0,4.68
TOI-3785 b,4.6747373,0.043,5.14,14.95,0.11,19.1,582.0,3576.0,0.5,0.52,0.099,4.747
TOI-3807 b,2.8989727,0.0421,18.49481816,330.54154328,0.0,1230.0,1646.0,5772.0,1.468,1.181,0.278,4.174
TOI-3819 b,3.2443141,0.04611,13.13692538,352.78953177,0.0,1186.0,1633.0,5859.0,1.538,1.242,0.273,4.156
TOI-3837 b,11.88865,0.099,10.87271128,187.51876013,0.221,,1178.0,5905.0,1.2,0.89,-0.26,4.229
TOI-3856 b,2.04360352,0.0325,13.59649359,171.62733978,0.083,949.0,1544.0,5622.0,1.055,1.096,0.454,4.431
TOI-3862 b,1.55745774,0.02539,5.53,53.7,0.0232,,1539.0,5300.0,0.92,0.9,0.11,4.4
TOI-3877 b,4.123596,0.0529,11.67975789,99.7981198,0.22,729.0,1445.0,5731.0,1.445,1.16,0.269,4.181
TOI-3884 b,4.5445828,0.0361,6.43,32.59,0.06,6.29,441.0,3180.0,0.302,0.298,0.04,4.97
TOI-3894 b,4.33454,0.05354,15.27784069,260.61929374,0.05,,1531.0,6000.0,1.502,1.138,0.021,4.143
TOI-3912 b,3.4936264,0.0463,14.28024141,129.03833324,0.0,872.2,1512.0,5725.0,1.392,1.088,0.187,4.188
TOI-3919 b,7.433234,0.0795,12.31866979,1233.17421916,0.259,,1198.0,6100.0,1.319,1.208,0.175,4.279
TOI-3976 A b,6.607662,0.0743,12.27383387,55.61997123,0.0,469.0,1295.0,5975.0,1.501,1.254,0.182,4.183
TOI-3980 b,3.6089254,0.0494,14.4595851,187.51876013,0.16,1153.0,1621.0,5840.0,1.626,1.24,0.188,4.106
TOI-3984 A b,4.353326,0.041,7.9,44.0,0.23,16.7,563.0,3476.0,0.47,0.49,0.18,4.81
TOI-4010 b,1.348335,0.0229,3.02,11.0,0.03,714.0,1441.0,4960.0,0.83,0.88,0.37,4.54
TOI-4010 c,5.414654,0.058,5.93,20.31,0.03,112.0,907.0,4960.0,0.83,0.88,0.37,4.54
TOI-4010 d,14.70886,0.113,6.18,38.15,0.07,30.0,650.0,4960.0,0.83,0.88,0.37,4.54
TOI-4034 b,1.8020932,0.03289,17.71018951,276.51071409,0.0,,1907.0,5891.0,1.83,1.19,0.12,3.87
TOI-406 c,3.307441,0.0322,1.32,2.08,0.032,19.0,584.0,3392.0,0.41,0.408,-0.02,4.69
TOI-406.01,13.175682,0.0809,2.08,6.57,0.056,3.0,368.0,3392.0,0.41,0.408,-0.02,4.69
TOI-4087 b,3.1774835,0.04469,13.04725353,232.01473711,0.0,753.9,1458.0,6060.0,1.112,1.178,0.237,4.416
TOI-411 b,4.040295,0.05727,1.362,13.71,,495.139,1241.0,6169.0,1.117,1.098,-0.08,4.47
TOI-411 c,9.573083,0.1017,2.328,9.72,,156.75,931.0,6169.0,1.117,1.098,-0.08,4.47
TOI-4127 b,56.3987,0.303,12.07,743.71847238,0.7484,,556.0,6096.0,1.293,1.23,0.14,4.26
TOI-4137 b,3.8016122,0.05222,13.57407563,457.67290608,0.0,1013.0,1570.0,6202.0,1.438,1.313,0.182,4.24
TOI-4145 A b,4.0664428,0.04823,13.30506009,136.66621501,0.0,223.0,1074.0,5281.0,0.859,0.905,0.168,4.526
