pl_name,PC1,PC2,PC3,PC4
TOI-1696 b,-1.7942010719775279,1.6826562986917561,0.454065371876987,1.6588785469777234
TOI-172 b,1.1983056931969638,-1.8523915628568142,1.7930553299679655,-0.1452480443493152
TOI-1728 b,-1.1445151908560207,0.4720505137880721,0.10184135007329664,0.9552040182813486
TOI-1736 b,-0.06646332809910027,-1.0804012735974138,-0.7548222056449966,-0.18478075748205433
TOI-1742 b,1.52916181700442,0.08674371903951383,0.9248303323767814,-0.1416414535278579
TOI-1743 b,-1.61081876250898,1.8512676978125095,-0.1047141597444417,1.0132412584322625
TOI-1749 b,-1.3977307100940177,1.0191271167112663,0.49172364988121536,-0.8313557513282065
TOI-1749 c,-1.2440920164015519,1.2511390473942487,-0.3648732075612674,-0.748518973305255
TOI-1749 d,-0.6243715305874703,1.5734335777899513,-0.16613110527145208,-0.7302419031650051
TOI-1751 b,2.4981447652169577,0.5477384919220789,0.7247666035878378,-1.972982533123013
TOI-1752 b,-2.087450180708156,0.7833523014590811,-0.3796964011106206,-0.37665410047468295
TOI-1752 c,0.8123311126020222,2.3395506789753275,-0.3840120194943783,-0.1753592982743595
TOI-1753 b,-0.5776713702119094,-0.2691163603154106,-0.6301210012672604,-0.27494944916629527
TOI-1759 b,0.15738159920988676,1.5591034240700807,-0.6400253742016108,0.32292948953109857
TOI-1774.01,0.7237038862911501,0.0032826325973451505,-0.6289816908605705,-0.5774977273991253
TOI-1775 b,-0.10404608600563713,-0.022171662078339635,-0.4688487237962094,0.6671794055701391
TOI-1776 b,-1.187184493277481,-0.23683212746574278,-0.7607425311623579,-1.2678468867287203
TOI-178 b,-1.5533715136765986,0.5307649714484508,-0.5430921421342463,-1.1577485868191895
TOI-178 c,-1.2901171697394023,0.609394473626056,-0.5964033467873225,-0.9942059460467755
TOI-178 d,-0.7439698536613335,0.8212820738548605,-0.6219602286308992,-0.9121873703671025
TOI-178 e,-0.3889931764494759,1.0525547607136077,-0.7559804159964969,-0.9337507755108475
TOI-178 g,0.4234040338798311,1.4517771707284628,-0.879293826284251,-0.8212238032276334
TOI-1789 b,0.007685155490210086,-3.3471144026211066,-0.30116360928209523,0.5536720587967363
TOI-1794 b,0.03836254011433182,-0.6536985947694716,-0.8010121829025709,-0.48357589754221086
TOI-1801 b,-0.7454083360168727,1.8004929860869536,-0.5542872969017923,-0.4701340001630618
TOI-1803 b,-0.7721653127885506,0.6283224806687392,-0.5254157473151941,-0.009072777357065612
TOI-1803 c,-0.0848924010863895,0.9633266618984855,-0.6373985015451703,0.07224916933029825
TOI-1806.01,-0.45042430465412286,2.2687424204746787,-0.129062671779664,0.3044458495934412
TOI-1807 b,-2.019022428349205,-0.44959882302761445,-0.51663719484779,-0.27978807049772947
TOI-181 b,-0.5528531934507049,-0.061183438398018035,0.6236888712424842,0.8346864282083492
TOI-1811 b,-0.788325504291321,-0.44525344515652693,0.12836459379886447,1.2739507629924962
TOI-1820 b,-0.09013841574564249,-1.7510886686668783,-0.20128871699623233,0.3252852687591161
TOI-1823 b,1.7804808496910058,0.9679291476113868,-0.8602127717763954,1.0787575654880703
TOI-1824 b,0.8434099257824927,0.8874426743981952,-0.8281567074709539,0.3354358560491527
TOI-1836 b,1.4890532557908924,-0.8967792703192421,-1.075285669762011,-0.7642056451218023
TOI-1836 c,-0.9087571934028971,-2.0723533217521783,-0.8337777482309415,-1.4096105563599948
TOI-1842 b,1.2374207400909605,-2.281167012612827,0.983075857991216,0.19977001594655489
TOI-1846 b,-1.5091460094585585,1.6269576130950816,0.09111089959111064,0.6685859241988742
TOI-1853 b,-1.4801779120382144,-0.8028935619720946,-0.19100009288660907,0.19414489216919478
TOI-1855 b,-1.0817823583313289,-1.8872143742679655,0.0019444429896877395,1.3548267201467667
TOI-1859 b,4.55844348471375,0.12680584660554284,2.2175559366087314,-0.12593173637423866
TOI-1860 b,-1.6560494303664888,-0.9435662852293666,-0.6064509751397976,-0.43160274832883466
